Domain,Sub_domain,Question,
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate method to strengthen the security of an operating system?
1 Enable unnecessary services
2 Regularly change the administrator account password
3 Grant administrator privileges to all users
4 Disclose the OS version information to the public",
금융보안IT,금융IT보안 심화,"Which of the following is NOT a terminal operating system?
1 Windows
2 Linux
3 Android
4 SQL Server",
금융보안IT,금융IT보안 심화,"Which of the following commands is used to check file permission settings in the Linux operating system?
1 ls -l
2 chmod
3 ps -aux
4 netstat -an",
금융보안IT,금융IT보안 심화,"Which of the following is a technical security measure to prevent information leakage caused by security vulnerabilities?
1 Establishing security policies
2 Strengthening access control
3 Conducting internal audits
4 Enhancing security training",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate characteristic of an APT attack?
1 Carries out intensive attacks over a short period of time.
2 Conducts automated attacks using known vulnerabilities.
3 Carries out persistent and stealthy attacks over a long period of time.
4 Monitors network traffic to detect unauthorized access.",
금융보안IT,금융IT보안 심화,"Which of the following is an appropriate technology for preventing the tampering and falsification of system files?
1 Data compression
2 Encryption
3 Data mining
4 Virtualization",
금융보안IT,금융IT보안 심화,"Which of the tools provided in Kali Linux is mainly used for analyzing system security vulnerabilities?
1 Wireshark
2 Metasploit
3 Apache
4 MySQL",
금융보안IT,금융IT보안 심화,"Which of the following is the most appropriate method for preventing and responding to system security threats?
1 Intrusion detection through system log analysis
2 Sharing administrator account passwords for network equipment
3 Enabling unnecessary services
4 Ignoring operating system patch management",
금융보안IT,금융IT보안 심화,"Which of the following is NOT an appropriate function of a security solution for system protection?
1 Access control
2 Data encryption
3 User authentication
4 Increase in network traffic",
금융보안IT,금융IT보안 심화,"Which of the following is a main function of the Data Link Layer in the OSI 7-layer model?
1 Setting the path for data
2 Physical transmission of data
3 Flow control and error detection of data
4 Encryption of data",
금융보안IT,금융IT보안 심화,"Which of the following is NOT correct about the differences between TCP and UDP?
1 TCP is a connection-oriented protocol.
2 UDP is a connectionless protocol.
3 TCP guarantees the reliability of data transmission.
4 UDP guarantees the order of data transmission.",
금융보안IT,금융IT보안 심화,"Which of the following statements correctly describes the operating principles and characteristics of different types of networks?

1 Ethernet is mainly used in wireless networks.
2 A LAN connects computers within a local area to share resources.
3 An intranet is a network open to external users.
4 SDN uses a hardware-based network management approach.",
