Domain,Sub_domain,Question
금융보안IT,금융IT보안 심화,"운영체제의 보안 강화를 위해 가장 적절한 방법은 무엇인가?
1 불필요한 서비스 활성화
2 관리자 계정의 비밀번호를 주기적으로 변경
3 모든 사용자에게 관리자 권한 부여
4 운영체제의 버전 정보를 외부에 공개"
금융보안IT,금융IT보안 심화,"다음 중 단말 운영체제에 해당하지 않는 것은 무엇인가?
1 Windows
2 Linux
3 Android
4 SQL Server"
금융보안IT,금융IT보안 심화,"다음 중 Linux 운영체제에서 파일 권한 설정을 확인하는 명령어는 무엇인가?
1 ls -l
2 chmod
3 ps -aux
4 netstat -an"
금융보안IT,금융IT보안 심화,"다음 중 보안 취약점에 의한 정보유출을 방지하기 위한 기술적 보안 대책은 무엇인가?
1 보안 정책 수립
2 접근 통제 강화
3 내부 감사 실시
4 보안 교육 강화"
금융보안IT,금융IT보안 심화,"다음 중 APT 공격의 특징으로 가장 적절한 것은?
1 단기간에 집중적으로 공격을 수행한다.
2 알려진 취약점을 이용하여 자동화된 공격을 수행한다.
3 장기간에 걸쳐 지속적이고 은밀하게 공격을 수행한다.
4 네트워크 트래픽을 감시하여 비인가 접근을 탐지한다."
금융보안IT,금융IT보안 심화,"시스템 파일의 위·변조 방지 기술로 적절한 것은?
1 데이터 압축
2 암호화
3 데이터 마이닝
4 가상화"
금융보안IT,금융IT보안 심화,"Kali Linux에서 제공하는 도구 중 시스템 보안 취약점 분석에 주로 사용되는 도구는 무엇인가?
1 Wireshark
2 Metasploit
3 Apache
4 MySQL"
금융보안IT,금융IT보안 심화,"시스템 보안 위협에 대한 예방과 대응 방법으로 가장 적절한 것은?
1 시스템 로그 분석을 통한 침입 탐지
2 네트워크 장비의 관리자 계정 비밀번호 공유
3 불필요한 서비스 활성화
4 운영체제의 패치 관리 무시"
금융보안IT,금융IT보안 심화,"시스템 보호용 보안 솔루션의 기능으로 적절하지 않은 것은?
1 접근 통제
2 데이터 암호화
3 사용자 인증
4 네트워크 트래픽 증가"
금융보안IT,금융IT보안 심화,"OSI 7 계층 모델에서 데이터 링크 계층의 주요 기능으로 옳은 것은?
1 데이터의 경로 설정
2 데이터의 물리적 전송
3 데이터의 흐름 제어 및 오류 검출
4 데이터의 암호화"
금융보안IT,금융IT보안 심화,"TCP와 UDP의 차이점으로 옳지 않은 것은?
1 TCP는 연결 지향형 프로토콜이다.
2 UDP는 비연결형 프로토콜이다.
3 TCP는 데이터 전송의 신뢰성을 보장한다.
4 UDP는 데이터 전송의 순서를 보장한다."
금융보안IT,금융IT보안 심화,"다음 중 네트워크의 종류별 동작 원리 및 특징에 대한 설명으로 옳은 것은?
1 Ethernet은 주로 무선 네트워크에서 사용된다.
2 LAN은 지역 내의 컴퓨터들을 연결하여 자원을 공유한다.
3 Intranet은 외부 사용자에게 개방된 네트워크이다.
4 SDN은 하드웨어 기반의 네트워크 관리 방식을 사용한다."
금융보안IT,금융IT보안 심화,"IPv6 주소 체계의 주요 특징으로 옳지 않은 것은?
1 128비트 주소 길이
2 NAT 필요성 감소
3 브로드캐스트 지원
4 자동 구성 기능"
금융보안IT,금융IT보안 심화,"네트워크 주소의 종류 중 공인주소에 대한 설명으로 가장 적절한 것은?
1 인터넷에서 사용되지 않으며, 내부 네트워크에서만 사용된다.
2 인터넷에서 고유하게 사용되며, 전 세계적으로 유일하다.
3 네트워크 장비 간의 통신을 위해 임시로 할당된다.
4 네트워크 주소 변환(NAT)을 통해 외부에 노출되지 않는다."
금융보안IT,금융IT보안 심화,"네트워크 장비 중에서 데이터 링크 계층에서 작동하며, 네트워크 세그먼트를 연결하고 데이터 프레임을 전달하는 장비는 무엇인가?
1 라우터
2 스위치
3 허브
4 게이트웨이"
금융보안IT,금융IT보안 심화,"네트워크 공유의 동작 원리와 관련된 프로토콜이 아닌 것은?
1 Netbios
2 Netbeui
3 P2P
4 SMTP"
금융보안IT,금융IT보안 심화,"다음 중 네트워크 도구 중 하나로, 네트워크 경로를 추적하는 데 사용되는 것은?
1 ping
2 arp
3 traceroute
4 netstat"
금융보안IT,금융IT보안 심화,"다음 중 서비스 거부(DoS) 공격의 특징으로 가장 적절한 것은?
1 네트워크 트래픽을 암호화하여 보안을 강화한다.
2 다수의 컴퓨터를 이용하여 공격을 수행한다.
3 특정 시스템의 자원을 소진시켜 정상적인 서비스를 방해한다.
4 네트워크 패킷을 변조하여 정보를 탈취한다."
금융보안IT,금융IT보안 심화,"다음 중 분산 서비스 거부(DDoS) 공격에 대한 대응 방법으로 가장 적절한 것은?
1 네트워크 트래픽을 모니터링하여 이상 징후를 탐지한다.
2 데이터베이스의 암호화 수준을 높인다.
3 사용자 비밀번호를 주기적으로 변경한다.
4 운영체제의 보안 패치를 최신으로 유지한다."
금융보안IT,금융IT보안 심화,"다음 중 분산 서비스 거부(DDoS) 공격의 유형별 동작원리와 특징에 대한 설명으로 가장 적절한 것은?
1 DDoS 공격은 단일 시스템에서 발생하며, 네트워크 트래픽을 증가시켜 서버를 마비시킨다.
2 DDoS 공격은 여러 시스템을 이용하여 동시에 공격을 수행하여 대상 서버의 자원을 소모시킨다.
3 DDoS 공격은 주로 네트워크의 취약점을 이용하여 데이터를 탈취하는 것을 목적으로 한다.
4 DDoS 공격은 주로 악성 코드를 통해 시스템 내부에서 발생하는 공격이다."
